id,name,popularity
6nVcHLIgY5pE2YCl8ubca1,Jhayco,81
19HM5j0ULGSmEoRcrSe5x3,Milo j,81
6LuN9FCkKOj5PcnpouEgny,Khalid,81
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,81
75i9GaW2MJUgt4BkdUnuUY,MC Ryan SP,81
3JsHnjpbhX4SnySpvpa9DK,V,81
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,80
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,80
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,80
4IWBUUAFIplrNtaOHcJPRM,James Arthur,80
2CKOmarVWvWqkNWUatHCex,Ana Castela,80
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,80
6HvZYsbFfjnjFrWF950C9d,NewJeans,80
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,80
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,80
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,80
2IMZYfNi21MGqxopj9fWx8,Rels B,80
5H4yInM5zmHqpKIoMNAx4r,Central Cee,80
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,80
3hcs9uc56yIGFCSy9leWe7,Lil Durk,80
1bAftSH8umNcGZ0uyV7LMg,Duki,80
329e4yvIujISKGKz1BZZbO,Farruko,80
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,80
2FXC3k01G6Gw61bmprjgqS,Hozier,80
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,80
4LLpKhyESsyAXpc4laK94U,Mac Miller,80
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,80
3MdXrJWsbVzdn6fe5JYkSQ,Latto,80
2nszmSgqreHSdJA3zWPyrW,Luis Miguel,80
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,80
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,80
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,80
0TnOYISbd1XYRBk9myaseg,Pitbull,80
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,80
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,79
5xYNmNkaWRqu3e5F4UXME8,Alfredo Olivas,79
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,79
26dSoYclwsYLMAKD3tpOr4,Britney Spears,79
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,79
